Nurse,Patient,Day,Start Time,Duration
0,0,1,439.5369075765458,10
0,0,4,136.3989986549966,10
0,2,0,0.0,10
0,2,4,111.83877887643871,10
0,8,0,329.0,10
0,8,4,329.0,10
0,10,2,376.0,10
0,11,0,145.23969412455813,10
0,11,2,107.17180735232205,10
0,11,4,163.0423156320901,10
0,15,0,74.42830582371766,10
0,20,0,119.42830582371539,10
0,20,2,0.0,10
0,20,4,74.9129548407634,10
0,25,0,28.027756377318383,10
0,31,2,60.00999900019997,10
0,33,2,142.17180735231932,10
1,1,0,57.42362280551788,10
1,1,4,67.42947780827865,10
1,2,1,259.38447187191196,10
1,2,4,111.83877887644451,10
1,6,0,389.52901370028667,10
1,6,4,21.180339887496757,10
1,7,0,411.7355693160207,10
1,13,0,339.21772495879304,10
1,13,2,384.6200395734421,10
1,13,4,405.96875762567566,10
1,15,2,363.43969968594564,10
1,17,0,298.8039123073013,10
1,17,2,425.03385222493154,10
1,17,4,191.25784019085586,10
1,18,0,0.0,10
1,18,4,0.0,10
1,23,1,235.24233624818189,10
1,23,4,135.98091450017228,10
1,26,1,290.0,10
1,26,4,216.25784019085404,10
1,27,0,92.92455854038235,10
1,28,0,170.8921699670566,10
1,28,4,272.75721659095467,10
1,32,0,122.13393125268158,10
1,32,4,247.89114784363824,10
2,1,1,434.0,10
2,1,4,67.42947780827558,10
2,7,2,409.7511905031861,10
2,10,0,235.28116309499956,10
2,14,0,118.0,10
2,19,0,200.28116309499953,10
2,19,2,267.0,10
2,19,4,8.398875119740978,10
2,21,0,389.99019513592793,10
2,21,2,332.0,10
2,21,4,373.0065946965538,10
2,22,0,314.7433830422483,10
2,22,4,146.0,10
2,26,0,163.3553390593274,10
2,26,3,60.0,10
2,27,4,432.0526680779817,10
2,31,2,60.00999900019997,10
3,3,0,750.6364432172923,10
3,3,4,850.0,10
3,4,0,699.4053869611162,10
3,4,4,959.0,10
3,8,0,329.0,10
3,8,3,329.0,10
3,11,0,145.23969412455813,10
3,11,2,107.17180735231932,10
3,11,4,163.0423156320901,10
3,12,0,786.1315407852562,10
3,12,4,691.8555686498567,10
3,21,0,389.99019513592793,10
3,21,2,332.0,10
3,21,4,373.0065946965538,10
3,28,0,170.8921699670566,10
3,28,4,272.7572165909521,10
3,29,0,210.8921699670566,10
3,29,2,392.2493781056037,10
3,29,4,312.75721659095115,10
3,30,0,232.93376454584836,10
3,30,4,228.27533729181647,10
3,34,0,630.0,10
3,34,4,630.0,10
