Nurse,Patient,Day,Start Time,Duration
0,6,1,5.0,10
0,6,4,50.698178070456834,10
0,12,0,69.27563749741473,10
0,12,4,149.0,10
0,17,0,50.892651361962635,10
0,17,3,12.0,10
0,18,3,66.0,10
0,20,0,43.464249196573064,10
0,27,0,16.0,10
0,27,2,16.0,10
0,27,4,16.0,10
0,31,1,105.20743687382037,10
0,31,4,85.36746040504536,10
0,34,0,133.0,10
0,34,2,61.60898762952979,10
0,34,4,47.08318915758345,10
0,47,0,155.0,10
0,47,2,155.0,10
0,47,4,155.0,10
0,48,0,98.0,10
0,48,3,88.69412236331664,10
0,49,0,13.0,10
0,49,4,13.0,10
1,23,0,3.0,10
1,26,1,16.0,10
1,26,4,16.0,10
1,28,0,35.86606874731842,10
1,28,3,50.068883707497086,10
1,29,1,46.61552812808816,10
1,29,4,46.61552812808824,10
1,33,0,58.90447355772369,10
1,33,2,14.0,10
1,33,4,105.97510376114391,10
1,42,2,122.0,10
1,45,1,96.46524581843062,10
2,8,3,87.0,10
2,20,3,11.0,10
2,21,1,36.81966011250108,10
2,21,4,63.75511665286399,10
2,22,1,58.0,10
2,25,1,122.0,10
2,28,0,35.86606874731842,10
2,28,3,50.068883707497186,10
2,32,0,11.0,10
2,32,2,11.0,10
2,32,4,11.0,10
2,41,1,5.0,10
3,0,3,81.52159917870972,10
3,2,0,101.45934077146194,10
3,18,1,17.0,10
3,19,0,52.92582403567259,10
3,19,2,116.0,10
3,19,4,82.9022777135356,10
3,34,0,133.0,10
3,34,2,61.60898762952979,10
3,34,4,47.08318915758345,10
3,35,3,5.0,10
3,40,1,87.0,10
4,1,4,7.0,10
4,2,0,101.45934077146194,10
4,3,0,139.0,10
4,3,2,19.0,10
4,3,4,139.0,10
4,5,1,3.0,10
4,11,1,38.49509756796391,10
4,11,4,42.488465062044796,10
4,19,0,52.92582403567259,10
4,19,2,116.0,10
4,19,4,82.9022777135356,10
4,26,0,16.0,10
4,26,3,16.0,10
5,3,0,139.0,10
5,3,2,19.0,10
5,3,4,139.0,10
5,7,0,32.44030650891057,10
5,7,2,85.0,10
5,7,4,78.46288492602685,10
5,15,1,65.0,10
5,15,4,23.180339887498917,10
5,16,1,147.0,10
5,16,4,2.0,10
5,37,1,35.24845673131639,10
5,40,3,5.0,10
5,41,1,5.0,10
6,10,1,42.0,10
6,10,4,12.0,10
6,13,0,20.0,10
6,13,3,20.0,10
6,17,1,77.0,10
6,17,4,47.0,10
6,24,1,142.92582403567258,10
6,25,2,17.0,10
6,35,1,5.0,10
6,42,4,94.99000099980003,10
6,47,0,155.0,10
6,47,2,155.0,10
6,47,4,155.0,10
6,48,0,98.0,10
6,48,3,88.69412236331664,10
7,1,0,7.0,10
7,6,1,5.0,10
7,6,4,50.698178070456834,10
7,9,0,114.0,10
7,9,2,72.76894374382346,10
7,9,4,104.0,10
7,11,0,53.0,10
7,11,3,19.0,10
7,12,1,149.0,10
7,12,4,149.0,10
7,15,1,65.0,10
7,15,4,23.18033988749881,10
7,33,0,58.90447355772369,10
7,33,2,14.0,10
7,33,4,105.97510376114391,10
7,36,0,124.0,10
7,36,2,124.0,10
7,36,4,52.7689437438234,10
7,49,0,13.0,10
7,49,4,13.0,10
