Nurse,Patient,Day,Start Time,Duration
0,20,0,0.0,10
0,20,2,0.0,10
0,20,4,412.3111795925761,10
0,25,1,0.0,10
0,43,0,335.85509146774393,10
0,43,2,167.0,10
0,43,4,182.97488737297869,10
0,47,0,424.16936607376545,10
0,47,3,433.197122451086,10
0,48,3,405.73287325451474,10
0,66,0,228.0,10
0,70,1,419.15859608239725,10
0,70,4,0.0,10
0,80,1,36.0,10
0,87,2,432.7368595610087,10
0,88,3,0.0,10
1,23,0,0.0,10
1,23,4,0.0,10
1,28,1,0.0,10
1,28,4,125.5803076539978,10
1,52,4,435.52786404500057,10
1,58,0,320.6614585876216,10
1,58,2,0.0,10
1,58,4,68.96485957077107,10
1,63,0,384.0,10
1,63,2,154.0,10
1,63,4,227.63740393991407,10
1,64,0,243.65399631661785,10
1,64,2,77.00746227100376,10
1,64,4,170.63740393991407,10
1,72,2,230.64082832618465,10
1,89,0,201.0810013668131,10
1,89,3,0.0,10
2,10,1,146.0,10
2,36,4,420.98391901548905,10
2,47,1,419.7249173968413,10
2,47,4,0.0,10
2,71,1,0.0,10
2,71,4,59.51767361255975,10
3,15,2,316.9776798221269,10
3,45,0,249.0,10
3,45,2,0.0,10
3,45,4,385.63644313765076,10
3,49,0,119.37158548823072,10
3,49,2,261.17374985973174,10
3,49,4,44.48187929912598,10
3,59,0,68.13865780703554,10
3,59,2,342.63015566462536,10
3,59,4,327.65902337356874,10
3,90,0,0.0,10
3,90,2,408.9192073483333,10
3,90,4,427.41694030179235,10
4,2,1,0.0,10
4,2,4,246.79867393617025,10
4,6,1,426.4261167894066,10
4,6,4,201.4433348768428,10
4,7,0,418.9923536969071,10
4,32,0,24.0,10
4,32,4,102.12118746859278,10
4,41,0,83.40647730814248,10
4,41,3,56.8187996428785,10
4,46,0,140.2252769510194,10
4,46,3,0.0,10
4,62,1,46.87817782917159,10
4,62,4,0.0,10
4,95,1,393.3393240281763,10
5,19,0,0.0,10
5,19,2,426.2116983377206,10
5,19,4,379.4322205219796,10
5,22,0,376.0,10
5,22,3,146.0,10
5,26,0,236.14213562373072,10
5,26,4,236.14213562373106,10
5,46,0,140.22527695101667,10
5,46,4,0.0,10
5,59,0,68.13865780703554,10
5,59,2,342.63015566462536,10
5,59,4,327.65902337356874,10
5,68,2,108.0,10
5,75,0,212.0,10
5,75,4,212.0,10
5,78,1,418.89227064327724,10
5,78,4,410.2408725686644,10
5,81,0,44.98571136907003,10
5,81,4,267.33175572414825,10
6,0,1,443.45474528928753,10
6,0,4,294.6223308007624,10
6,2,0,869.5467954819491,10
6,2,4,246.79867393617025,10
6,3,0,772.0540146272979,10
6,3,4,772.0540146272979,10
6,4,1,355.65025147452275,10
6,4,4,428.2894487621837,10
6,8,1,415.65025147452275,10
6,8,4,340.6676918179497,10
6,11,0,0.0,10
6,11,2,0.0,10
6,11,4,267.97901382366916,10
6,15,4,166.89212484268052,10
6,29,0,417.0,10
6,29,2,417.0,10
6,29,4,315.6676918179497,10
6,31,2,85.52985457250452,10
6,34,0,838.0061362534108,10
6,34,4,860.0,10
6,38,3,47.161808352124126,10
6,43,0,335.85509146774393,10
6,43,2,167.0,10
6,43,4,182.97488737297869,10
6,49,0,119.37158548823072,10
6,49,2,261.17374985973174,10
6,49,4,44.48187929912598,10
6,51,1,0.0,10
6,51,4,968.0,10
6,54,2,780.276925690687,10
6,67,0,801.0803122177382,10
6,67,4,801.0803122177384,10
6,74,0,73.31607273359077,10
6,74,2,215.1182371050918,10
6,74,4,116.86713265030158,10
